lambda       C_ext/H       K_abs
(micron)     (cm^2/H)     (cm^2/g)
---------    ---------    --line-------
1.429E-02    4.462E-22    1.246E+04
1.437E-02    4.468E-22    1.249E+04
1.445E-02    4.474E-22    1.252E+04
1.454E-02    4.479E-22    1.256E+04
1.462E-02    4.485E-22    1.259E+04
1.471E-02    4.491E-22    1.262E+04
1.479E-02    4.496E-22    1.265E+04
1.488E-02    4.502E-22    1.269E+04
1.496E-02    4.508E-22    1.272E+04
1.505E-02    4.513E-22    1.275E+04
1.514E-02    4.519E-22    1.279E+04
1.522E-02    4.525E-22    1.282E+04
1.531E-02    4.530E-22    1.286E+04
1.540E-02    4.536E-22    1.289E+04
1.549E-02    4.541E-22    1.292E+04
1.558E-02    4.547E-22    1.296E+04
1.567E-02    4.553E-22    1.299E+04
1.576E-02    4.558E-22    1.303E+04
1.585E-02    4.564E-22    1.306E+04
1.594E-02    4.569E-22    1.310E+04
1.603E-02    4.575E-22    1.313E+04
1.613E-02    4.580E-22    1.317E+04
1.622E-02    4.586E-22    1.320E+04
1.631E-02    4.591E-22    1.324E+04
1.641E-02    4.596E-22    1.328E+04
1.650E-02    4.602E-22    1.331E+04
1.660E-02    4.607E-22    1.335E+04
1.669E-02    4.613E-22    1.339E+04
1.679E-02    4.618E-22    1.342E+04
1.688E-02    4.623E-22    1.346E+04
1.698E-02    4.628E-22    1.350E+04
1.708E-02    4.633E-22    1.354E+04
1.718E-02    4.638E-22    1.358E+04
1.728E-02    4.643E-22    1.362E+04
1.738E-02    4.648E-22    1.366E+04
1.748E-02    4.653E-22    1.370E+04
1.758E-02    4.657E-22    1.374E+04
1.768E-02    4.662E-22    1.379E+04
1.778E-02    4.665E-22    1.383E+04
1.789E-02    4.667E-22    1.388E+04
1.799E-02    4.669E-22    1.392E+04
1.809E-02    4.671E-22    1.397E+04
1.820E-02    4.673E-22    1.402E+04
1.830E-02    4.674E-22    1.407E+04
1.841E-02    4.676E-22    1.412E+04
1.851E-02    4.676E-22    1.418E+04
1.862E-02    4.668E-22    1.425E+04
1.873E-02    4.640E-22    1.436E+04
1.884E-02    4.460E-22    1.386E+04
1.895E-02    4.544E-22    1.382E+04
1.905E-02    4.581E-22    1.383E+04
1.916E-02    4.619E-22    1.378E+04
1.928E-02    4.632E-22    1.381E+04
1.939E-02    4.646E-22    1.385E+04
1.950E-02    4.660E-22    1.389E+04
1.961E-02    4.673E-22    1.392E+04
1.972E-02    4.687E-22    1.396E+04
1.984E-02    4.700E-22    1.399E+04
1.995E-02    4.714E-22    1.403E+04
2.007E-02    4.727E-22    1.407E+04
2.018E-02    4.740E-22    1.411E+04
2.030E-02    4.753E-22    1.414E+04
2.042E-02    4.766E-22    1.418E+04
2.054E-02    4.779E-22    1.422E+04
2.065E-02    4.792E-22    1.425E+04
2.077E-02    4.803E-22    1.429E+04
2.089E-02    4.815E-22    1.433E+04
2.101E-02    4.826E-22    1.436E+04
2.113E-02    4.837E-22    1.440E+04
2.126E-02    4.848E-22    1.444E+04
2.138E-02    4.858E-22    1.448E+04
2.150E-02    4.869E-22    1.452E+04
2.163E-02    4.879E-22    1.456E+04
2.175E-02    4.890E-22    1.460E+04
2.188E-02    4.901E-22    1.464E+04
2.200E-02    4.912E-22    1.468E+04
2.213E-02    4.922E-22    1.472E+04
2.226E-02    4.932E-22    1.477E+04
2.239E-02    4.942E-22    1.481E+04
2.252E-02    4.946E-22    1.487E+04
2.265E-02    4.950E-22    1.479E+04
2.278E-02    4.973E-22    1.483E+04
2.291E-02    4.991E-22    1.487E+04
2.304E-02    5.007E-22    1.492E+04
2.317E-02    5.022E-22    1.497E+04
2.331E-02    5.036E-22    1.502E+04
2.344E-02    5.050E-22    1.508E+04
2.358E-02    5.064E-22    1.513E+04
2.371E-02    5.077E-22    1.518E+04
2.385E-02    5.091E-22    1.524E+04
2.399E-02    5.104E-22    1.529E+04
2.413E-02    5.118E-22    1.535E+04
2.427E-02    5.131E-22    1.541E+04
2.441E-02    5.145E-22    1.546E+04
2.455E-02    5.158E-22    1.552E+04
2.469E-02    5.171E-22    1.558E+04
2.483E-02    5.185E-22    1.564E+04
2.497E-02    5.198E-22    1.570E+04
2.512E-02    5.212E-22    1.576E+04
2.526E-02    5.225E-22    1.582E+04
2.541E-02    5.239E-22    1.588E+04
2.556E-02    5.253E-22    1.594E+04
2.570E-02    5.266E-22    1.601E+04
2.585E-02    5.280E-22    1.607E+04
2.600E-02    5.293E-22    1.613E+04
2.615E-02    5.307E-22    1.619E+04
2.630E-02    5.321E-22    1.626E+04
2.645E-02    5.335E-22    1.632E+04
2.661E-02    5.349E-22    1.639E+04
2.676E-02    5.362E-22    1.646E+04
2.692E-02    5.376E-22    1.652E+04
2.707E-02    5.390E-22    1.659E+04
2.723E-02    5.405E-22    1.666E+04
2.738E-02    5.419E-22    1.672E+04
2.754E-02    5.433E-22    1.679E+04
2.770E-02    5.447E-22    1.686E+04
2.786E-02    5.462E-22    1.693E+04
2.802E-02    5.477E-22    1.700E+04
2.818E-02    5.491E-22    1.707E+04
2.835E-02    5.506E-22    1.714E+04
2.851E-02    5.521E-22    1.722E+04
2.867E-02    5.536E-22    1.729E+04
2.884E-02    5.551E-22    1.736E+04
2.901E-02    5.567E-22    1.744E+04
2.917E-02    5.582E-22    1.751E+04
2.934E-02    5.598E-22    1.759E+04
2.951E-02    5.613E-22    1.767E+04
2.968E-02    5.629E-22    1.774E+04
2.985E-02    5.645E-22    1.782E+04
3.003E-02    5.661E-22    1.790E+04
3.020E-02    5.677E-22    1.798E+04
3.037E-02    5.693E-22    1.806E+04
3.055E-02    5.709E-22    1.814E+04
3.073E-02    5.725E-22    1.822E+04
3.090E-02    5.742E-22    1.830E+04
3.108E-02    5.758E-22    1.839E+04
3.126E-02    5.775E-22    1.847E+04
3.144E-02    5.791E-22    1.855E+04
3.162E-02    5.808E-22    1.863E+04
3.181E-02    5.825E-22    1.872E+04
3.199E-02    5.842E-22    1.880E+04
3.217E-02    5.859E-22    1.889E+04
3.236E-02    5.876E-22    1.898E+04
3.255E-02    5.893E-22    1.906E+04
3.273E-02    5.911E-22    1.915E+04
3.292E-02    5.928E-22    1.924E+04
3.311E-02    5.945E-22    1.933E+04
3.330E-02    5.963E-22    1.941E+04
3.350E-02    5.980E-22    1.950E+04
3.369E-02    5.998E-22    1.959E+04
3.388E-02    6.016E-22    1.968E+04
3.408E-02    6.034E-22    1.978E+04
3.428E-02    6.052E-22    1.987E+04
3.447E-02    6.070E-22    1.996E+04
3.467E-02    6.088E-22    2.005E+04
3.487E-02    6.107E-22    2.015E+04
3.508E-02    6.124E-22    2.024E+04
3.528E-02    6.142E-22    2.033E+04
3.548E-02    6.161E-22    2.044E+04
3.569E-02    6.183E-22    2.056E+04
3.589E-02    6.201E-22    2.066E+04
3.610E-02    6.215E-22    2.074E+04
3.631E-02    6.225E-22    2.080E+04
3.652E-02    6.227E-22    2.081E+04
3.673E-02    6.211E-22    2.072E+04
3.694E-02    6.194E-22    2.062E+04
3.715E-02    6.175E-22    2.051E+04
3.737E-02    6.154E-22    2.039E+04
3.758E-02    6.134E-22    2.026E+04
3.780E-02    6.125E-22    2.020E+04
3.802E-02    6.119E-22    2.014E+04
3.824E-02    6.115E-22    2.010E+04
3.846E-02    6.114E-22    2.007E+04
3.868E-02    6.115E-22    2.005E+04
3.890E-02    6.118E-22    2.004E+04
3.913E-02    6.122E-22    2.004E+04
3.936E-02    6.128E-22    2.005E+04
3.958E-02    6.136E-22    2.006E+04
3.981E-02    6.145E-22    2.008E+04
4.004E-02    6.155E-22    2.011E+04
4.027E-02    6.166E-22    2.015E+04
4.050E-02    6.178E-22    2.019E+04
4.074E-02    6.192E-22    2.024E+04
4.097E-02    6.207E-22    2.029E+04
4.121E-02    6.224E-22    2.035E+04
4.145E-02    6.240E-22    2.041E+04
4.169E-02    6.257E-22    2.047E+04
4.193E-02    6.276E-22    2.055E+04
4.217E-02    6.298E-22    2.064E+04
4.241E-02    6.322E-22    2.074E+04
4.266E-02    6.348E-22    2.085E+04
4.290E-02    6.382E-22    2.102E+04
4.315E-02    6.421E-22    2.121E+04
4.340E-02    6.461E-22    2.141E+04
